book_id,isbn,isbn13,original_publication_year,original_title,average_rating,author,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url
15,553296981,9780553296980.0,1947.0,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,4.1,Anne Frank,45225,91270,355756,656870,875372,https://images.gr-assets.com/books/1358276407m/48855.jpg,https://images.gr-assets.com/books/1358276407s/48855.jpg
16,307269752,9780307269750.0,2005.0,Män som hatar kvinnor,4.11,Stieg Larsson,54835,86051,285413,667485,836050,https://images.gr-assets.com/books/1327868566m/2429135.jpg,https://images.gr-assets.com/books/1327868566s/2429135.jpg
17,439023491,9780439023500.0,2009.0,Catching Fire,4.3,Suzanne Collins,10492,48030,262010,687238,980309,https://images.gr-assets.com/books/1358273780m/6148028.jpg,https://images.gr-assets.com/books/1358273780s/6148028.jpg
18,043965548X,9780439655480.0,1999.0,Harry Potter and the Prisoner of Azkaban,4.53,J.K. Rowling,6716,20413,166129,509447,1266670,https://images.gr-assets.com/books/1499277281m/5.jpg,https://images.gr-assets.com/books/1499277281s/5.jpg
19,618346252,9780618346260.0,1954.0, The Fellowship of the Ring,4.34,J.R.R. Tolkien,38031,55862,202332,493922,1042394,https://images.gr-assets.com/books/1298411339m/34.jpg,https://images.gr-assets.com/books/1298411339s/34.jpg
20,439023513,9780439023510.0,2010.0,Mockingjay,4.03,Suzanne Collins,30144,110498,373060,618271,738775,https://images.gr-assets.com/books/1358275419m/7260188.jpg,https://images.gr-assets.com/books/1358275419s/7260188.jpg
21,439358078,9780439358070.0,2003.0,Harry Potter and the Order of the Phoenix,4.46,J.K. Rowling,9528,31577,180210,494427,1124806,https://images.gr-assets.com/books/1387141547m/2.jpg,https://images.gr-assets.com/books/1387141547s/2.jpg
22,316166685,9780316166680.0,2002.0,The Lovely Bones,3.77,Alice Sebold,62777,131188,404699,583575,479323,https://images.gr-assets.com/books/1457810586m/12232938.jpg,https://images.gr-assets.com/books/1457810586s/12232938.jpg
23,439064864,9780439064870.0,1998.0,Harry Potter and the Chamber of Secrets,4.37,J.K. Rowling,8253,42251,242345,548266,1065084,https://images.gr-assets.com/books/1474169725m/15881.jpg,https://images.gr-assets.com/books/1474169725s/15881.jpg
24,439139600,9780439139600.0,2000.0,Harry Potter and the Goblet of Fire,4.53,J.K. Rowling,6676,20210,151785,494926,1195045,https://images.gr-assets.com/books/1361482611m/6.jpg,https://images.gr-assets.com/books/1361482611s/6.jpg
25,545010225,9780545010220.0,2007.0,Harry Potter and the Deathly Hallows,4.61,J.K. Rowling,9363,22245,113646,383914,1318227,https://images.gr-assets.com/books/1474171184m/136251.jpg,https://images.gr-assets.com/books/1474171184s/136251.jpg
26,307277674,9780307277670.0,2003.0,The Da Vinci Code,3.79,Dan Brown,71345,126493,340790,539277,479387,https://images.gr-assets.com/books/1303252999m/968.jpg,https://images.gr-assets.com/books/1303252999s/968.jpg
27,439785960,9780439785970.0,2005.0,Harry Potter and the Half-Blood Prince,4.54,J.K. Rowling,7308,21516,136333,459028,1161491,https://images.gr-assets.com/books/1361039191m/1.jpg,https://images.gr-assets.com/books/1361039191s/1.jpg
28,140283331,9780140283330.0,1954.0,Lord of the Flies ,3.64,William Golding,92779,160295,425648,564916,427846,https://images.gr-assets.com/books/1327869409m/7624.jpg,https://images.gr-assets.com/books/1327869409s/7624.jpg
29,743477111,9780743477120.0,1595.0,An Excellent conceited Tragedie of Romeo and Juliet,3.73,William Shakespeare,57980,153179,452673,519822,489235,https://images.gr-assets.com/books/1327872146m/18135.jpg,https://images.gr-assets.com/books/1327872146s/18135.jpg
30,297859382,9780297859380.0,2012.0,Gone Girl,4.03,Gillian Flynn,38874,80807,280331,616031,610476,https://images.gr-assets.com/books/1339602131m/8442457.jpg,https://images.gr-assets.com/books/1339602131s/8442457.jpg
31,399155341,9780399155340.0,2009.0,The Help,4.45,Kathryn Stockett,10235,25117,134887,490754,942552,https://images.gr-assets.com/books/1346100365m/4667024.jpg,https://images.gr-assets.com/books/1346100365s/4667024.jpg
32,142000671,9780142000670.0,1937.0,Of Mice and Men ,3.84,John Steinbeck,46630,110856,355169,532291,473795,https://images.gr-assets.com/books/1437235233m/890.jpg,https://images.gr-assets.com/books/1437235233s/890.jpg
33,739326228,9780739326220.0,1997.0,Memoirs of a Geisha,4.08,Arthur Golden,23500,59033,258700,517157,559782,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
34,1612130291,9781612130290.0,2011.0,Fifty Shades of Grey,3.67,E.L. James,165455,152293,252185,294976,571909,https://images.gr-assets.com/books/1385207843m/10818853.jpg,https://images.gr-assets.com/books/1385207843s/10818853.jpg
35,61122416,9780061122420.0,1988.0,O Alquimista,3.82,Paulo Coelho,74846,123614,289143,412180,504212,https://images.gr-assets.com/books/1483412266m/865.jpg,https://images.gr-assets.com/books/1483412266s/865.jpg
36,385732554,9780385732550.0,1993.0,The Giver,4.12,Lois Lowry,26497,59652,225326,448691,585279,https://images.gr-assets.com/books/1342493368m/3636.jpg,https://images.gr-assets.com/books/1342493368s/3636.jpg
37,60764899,9780060764890.0,1950.0,"The Lion, the Witch and the Wardrobe",4.19,C.S. Lewis,19309,55542,262038,513366,734629,https://images.gr-assets.com/books/1353029077m/100915.jpg,https://images.gr-assets.com/books/1353029077s/100915.jpg
38,965818675,9780965818670.0,2003.0,The Time Traveler's Wife,3.95,Audrey Niffenegger,44339,85429,257805,427210,493884,https://images.gr-assets.com/books/1437728815m/14050.jpg,https://images.gr-assets.com/books/1437728815s/14050.jpg
39,553588486,9780553588480.0,1996.0,A Game of Thrones,4.45,George R.R. Martin,19988,28983,114092,404583,874574,https://images.gr-assets.com/books/1436732693m/13496.jpg,https://images.gr-assets.com/books/1436732693s/13496.jpg
40,143038419,9780143038410.0,2006.0,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",3.51,Elizabeth Gilbert,100373,149549,310212,332191,314272,https://images.gr-assets.com/books/1503066414m/19501.jpg,https://images.gr-assets.com/books/1503066414s/19501.jpg
41,786838655,9780786838650.0,2005.0,The Lightning Thief,4.23,Rick Riordan,18303,48294,219638,435514,689365,https://images.gr-assets.com/books/1400602609m/28187.jpg,https://images.gr-assets.com/books/1400602609s/28187.jpg
42,451529308,9780451529300.0,1868.0,Little Women,4.04,Louisa May Alcott,31645,70011,250794,426280,535563,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
43,142437204,9780142437210.0,1847.0,Jane Eyre,4.1,Charlotte Brontë,35132,64274,212294,400214,574221,https://images.gr-assets.com/books/1327867269m/10210.jpg,https://images.gr-assets.com/books/1327867269s/10210.jpg
44,553816713,9780553816720.0,1996.0,The Notebook,4.06,Nicholas Sparks,41395,63432,176469,298259,497194,https://images.gr-assets.com/books/1385738917m/15931.jpg,https://images.gr-assets.com/books/1385738917s/15931.jpg
45,770430074,9780770430080.0,2001.0,Life of Pi,3.88,Yann Martel,39768,74331,218702,384164,360466,https://images.gr-assets.com/books/1320562005m/4214.jpg,https://images.gr-assets.com/books/1320562005s/4214.jpg
46,1565125606,9781565125600.0,2006.0,Water for Elephants,4.07,Sara Gruen,16705,49832,200154,417328,424820,https://images.gr-assets.com/books/1494428973m/43641.jpg,https://images.gr-assets.com/books/1494428973s/43641.jpg
47,375831002,9780375831000.0,2005.0,The Book Thief,4.36,Markus Zusak,17892,35360,135272,377218,722056,https://images.gr-assets.com/books/1390053681m/19063.jpg,https://images.gr-assets.com/books/1390053681s/19063.jpg
48,307347974,9780307347980.0,1953.0,Fahrenheit 451,3.97,Ray Bradbury,28366,64289,238242,426292,419051,https://images.gr-assets.com/books/1351643740m/4381.jpg,https://images.gr-assets.com/books/1351643740s/4381.jpg
49,316160199,9780316160190.0,2006.0,"New Moon (Twilight, #2)",3.52,Stephenie Meyer,102837,160660,294207,290612,350684,https://images.gr-assets.com/books/1361039440m/49041.jpg,https://images.gr-assets.com/books/1361039440s/49041.jpg
50,60513039,9780060513030.0,1974.0,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,4.29,Shel Silverstein,16590,30792,139024,293222,544153,https://images.gr-assets.com/books/1168052448m/30119.jpg,https://images.gr-assets.com/books/1168052448s/30119.jpg
51,1416914285,9781416914280.0,2007.0,City of Bones,4.12,Cassandra Clare,34122,65349,203466,356048,582814,https://images.gr-assets.com/books/1432730315m/256683.jpg,https://images.gr-assets.com/books/1432730315s/256683.jpg
52,316160202,9780316160210.0,2007.0,Eclipse,3.69,Stephenie Meyer,83094,124293,260763,309358,399134,https://images.gr-assets.com/books/1361038355m/428263.jpg,https://images.gr-assets.com/books/1361038355s/428263.jpg
53,375826696,9780375826700.0,2002.0,Eragon,3.86,Christopher Paolini,50563,88536,240157,337943,408032,https://images.gr-assets.com/books/1366212852m/113436.jpg,https://images.gr-assets.com/books/1366212852s/113436.jpg
54,345391802,9780345391800.0,1979.0,The Hitchhiker's Guide to the Galaxy,4.2,Douglas Adams,21764,41962,145173,299579,498001,https://images.gr-assets.com/books/1327656754m/11.jpg,https://images.gr-assets.com/books/1327656754s/11.jpg
55,60929871,9780060929880.0,1932.0,Brave New World,3.97,Aldous Huxley,26367,60328,219895,389379,383166,https://images.gr-assets.com/books/1487389574m/5129.jpg,https://images.gr-assets.com/books/1487389574s/5129.jpg
56,031606792X,9780316067930.0,2008.0,Breaking Dawn,3.7,Stephenie Meyer,100994,114893,213402,267706,410714,https://images.gr-assets.com/books/1361039438m/1162543.jpg,https://images.gr-assets.com/books/1361039438s/1162543.jpg
57,142001740,9780142001740.0,2001.0,The Secret Life of Bees,4.01,Sue Monk Kidd,17500,45455,185631,347540,341267,https://images.gr-assets.com/books/1473454532m/37435.jpg,https://images.gr-assets.com/books/1473454532s/37435.jpg
58,142437174,9780142437180.0,1884.0,The Adventures of Huckleberry Finn,3.8,Mark Twain,28467,76630,255722,344356,296316,https://images.gr-assets.com/books/1405973850m/2956.jpg,https://images.gr-assets.com/books/1405973850s/2956.jpg
59,64410935,9780064410940.0,1952.0,Charlotte's Web,4.15,E.B. White,18450,41124,191415,346090,487763,https://images.gr-assets.com/books/1439632243m/24178.jpg,https://images.gr-assets.com/books/1439632243s/24178.jpg
60,1400032717,9781400032720.0,2003.0,The Curious Incident of the Dog in the Night-Time,3.85,Mark Haddon,21049,58117,218218,355925,262481,https://images.gr-assets.com/books/1479863624m/1618.jpg,https://images.gr-assets.com/books/1479863624s/1618.jpg
61,1594633665,9781594633670.0,2015.0,The Girl on the Train,3.88,Paula Hawkins,27773,73897,273817,488447,362551,https://images.gr-assets.com/books/1490903702m/22557272.jpg,https://images.gr-assets.com/books/1490903702s/22557272.jpg
62,679879242,9780679879240.0,1995.0,Northern Lights,3.94,Philip Pullman,38382,64591,198764,313147,380030,https://images.gr-assets.com/books/1451271747m/119322.jpg,https://images.gr-assets.com/books/1451271747s/119322.jpg
63,393978893,9780393978900.0,1847.0,Wuthering Heights,3.82,Emily Brontë,46469,84084,215320,309180,346082,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
64,743454537,9780743454540.0,2004.0,My Sister's Keeper,4.06,Jodi Picoult,17547,42763,162573,314003,350994,https://images.gr-assets.com/books/1369504683m/10917.jpg,https://images.gr-assets.com/books/1369504683s/10917.jpg
65,385333846,9780385333850.0,1969.0,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",4.06,Kurt Vonnegut Jr.,24964,45518,152442,300948,367890,https://images.gr-assets.com/books/1440319389m/4981.jpg,https://images.gr-assets.com/books/1440319389s/4981.jpg
66,446675539,9780446675540.0,1936.0,Gone with the Wind,4.28,Margaret Mitchell,19996,33136,116160,234290,493721,https://images.gr-assets.com/books/1328025229m/18405.jpg,https://images.gr-assets.com/books/1328025229s/18405.jpg
67,1594489505,9781594489500.0,2007.0,A Thousand Splendid Suns,4.34,Khaled Hosseini,6509,18015,99030,295817,446694,https://images.gr-assets.com/books/1345958969m/128029.jpg,https://images.gr-assets.com/books/1345958969s/128029.jpg
68,671027344,9780671027350.0,1999.0,The Perks of Being a Wallflower,4.21,Stephen Chbosky,14286,38658,143440,297501,461020,https://images.gr-assets.com/books/1167352178m/22628.jpg,https://images.gr-assets.com/books/1167352178s/22628.jpg
69,7442912,9780007442910.0,2012.0,Insurgent,4.07,Veronica Roth,10641,44620,182131,339977,369969,https://images.gr-assets.com/books/1325667729m/11735983.jpg,https://images.gr-assets.com/books/1325667729s/11735983.jpg
70,812550706,9780812550700.0,1985.0,Ender's Game,4.3,Orson Scott Card,15330,27612,103439,264207,462829,https://images.gr-assets.com/books/1408303130m/375802.jpg,https://images.gr-assets.com/books/1408303130s/375802.jpg
71,141439475,9780141439470.0,1818.0,"Frankenstein; or, The Modern Prometheus",3.75,Mary Wollstonecraft Shelley,29366,74142,231022,300495,248538,https://images.gr-assets.com/books/1381512375m/18490.jpg,https://images.gr-assets.com/books/1381512375s/18490.jpg
72,450040186,9780450040180.0,1977.0,The Shining,4.17,Stephen King,18487,28981,123862,277393,382158,https://images.gr-assets.com/books/1353277730m/11588.jpg,https://images.gr-assets.com/books/1353277730s/11588.jpg
73,316068047,9780316068050.0,2008.0,The Host,3.84,Stephenie Meyer,44215,62501,154906,227180,288758,https://images.gr-assets.com/books/1318009171m/1656001.jpg,https://images.gr-assets.com/books/1318009171s/1656001.jpg
74,142402516,9780142402510.0,2005.0,Looking for Alaska,4.09,John Green,16940,44232,147324,262932,359857,https://images.gr-assets.com/books/1394798630m/99561.jpg,https://images.gr-assets.com/books/1394798630s/99561.jpg
76,141439661,9780141439660.0,1811.0,Sense and Sensibility,4.06,Jane Austen,18430,34699,141987,272512,311754,https://images.gr-assets.com/books/1397245675m/14935.jpg,https://images.gr-assets.com/books/1397245675s/14935.jpg
77,439244196,9780439244190.0,1998.0,Holes,3.93,Louis Sachar,15495,43786,176946,269153,259257,https://images.gr-assets.com/books/1327781893m/38709.jpg,https://images.gr-assets.com/books/1327781893s/38709.jpg
78,307275558,9780307275550.0,2003.0,The Devil Wears Prada,3.7,Lauren Weisberger,24231,58323,192366,226675,178250,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
79,143039954,9780143039950.0,-720.0,Ὀδύσσεια,3.73,Homer,29703,65629,183082,224120,208223,https://images.gr-assets.com/books/1390173285m/1381.jpg,https://images.gr-assets.com/books/1390173285s/1381.jpg
80,156012197,9780156012200.0,1946.0,Le Petit Prince,4.28,Antoine de Saint-Exupéry,15039,32866,114714,228440,468227,https://images.gr-assets.com/books/1367545443m/157993.jpg,https://images.gr-assets.com/books/1367545443s/157993.jpg
81,074324754X,9780743247540.0,2005.0,The Glass Castle,4.24,Jeannette Walls,7901,18922,85191,227750,298102,https://images.gr-assets.com/books/1400930557m/7445.jpg,https://images.gr-assets.com/books/1400930557s/7445.jpg
82,385486804,9780385486800.0,1996.0,Into the Wild,3.94,Jon Krakauer,19229,35567,135199,248287,227095,https://images.gr-assets.com/books/1403173986m/1845.jpg,https://images.gr-assets.com/books/1403173986s/1845.jpg
83,141439602,9780141439600.0,1859.0,A Tale of Two Cities,3.81,Charles Dickens,28904,55555,153305,216378,223571,https://images.gr-assets.com/books/1344922523m/1953.jpg,https://images.gr-assets.com/books/1344922523s/1953.jpg
84,030734813X,9780307348140.0,1990.0,Jurassic Park,3.96,Michael Crichton,15736,34222,138327,231583,230615,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
85,60256656,9780060256650.0,1964.0,The Giving Tree,4.38,Shel Silverstein,15345,20408,76071,167542,428921,https://images.gr-assets.com/books/1174210942m/370493.jpg,https://images.gr-assets.com/books/1174210942s/370493.jpg
86,385338600,9780385338610.0,1989.0,A Time to Kill,4.03,John Grisham,12106,25938,122675,218617,229488,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
87,374500010,9780374500020.0,1958.0,Un di Velt Hot Geshvign,4.3,Elie Wiesel,7761,18539,90575,230227,360777,https://images.gr-assets.com/books/1473495285m/1617.jpg,https://images.gr-assets.com/books/1473495285s/1617.jpg
88,014241493X,9780142414930.0,2008.0,Paper Towns,3.88,John Green,14105,47183,154479,223895,215609,https://images.gr-assets.com/books/1349013610m/6442769.jpg,https://images.gr-assets.com/books/1349013610s/6442769.jpg
89,345418263,9780345418260.0,1973.0,The Princess Bride,4.25,William Goldman,12883,21641,89236,196047,338235,https://images.gr-assets.com/books/1327903636m/21787.jpg,https://images.gr-assets.com/books/1327903636s/21787.jpg
90,014038572X,9780140385720.0,1967.0,The Outsiders,4.06,S.E. Hinton,10178,34346,134244,227250,274419,https://images.gr-assets.com/books/1442129426m/231804.jpg,https://images.gr-assets.com/books/1442129426s/231804.jpg
91,385737947,9780385737940.0,2009.0,The Maze Runner,4.02,James Dashner,15291,43370,150488,266698,302109,https://images.gr-assets.com/books/1375596592m/6186357.jpg,https://images.gr-assets.com/books/1375596592s/6186357.jpg
92,61234001,9780061234000.0,2005.0,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,3.93,Steven D. Levitt,14586,26538,115789,216316,176072,https://images.gr-assets.com/books/1327909092m/1202.jpg,https://images.gr-assets.com/books/1327909092s/1202.jpg
93,517189607,9780517189600.0,1911.0,The Secret Garden,4.12,Frances Hodgson Burnett,8005,25207,129646,243821,285570,https://images.gr-assets.com/books/1327873635m/2998.jpg,https://images.gr-assets.com/books/1327873635s/2998.jpg
94,60531045,9780060531040.0,1967.0,Cien años de soledad,4.04,Gabriel García Márquez,27340,37646,87675,155809,267197,https://images.gr-assets.com/books/1327881361m/320.jpg,https://images.gr-assets.com/books/1327881361s/320.jpg
95,375751513,9780375751520.0,1891.0,The Picture of Dorian Gray,4.06,Oscar Wilde,9825,30735,129420,246892,257679,https://images.gr-assets.com/books/1424596966m/5297.jpg,https://images.gr-assets.com/books/1424596966s/5297.jpg
96,345803507,9780345803500.0,2012.0,Fifty Shades Freed,3.88,E.L. James,39079,55691,109963,140304,265079,https://images.gr-assets.com/books/1336418837m/13536860.jpg,https://images.gr-assets.com/books/1336418837s/13536860.jpg
97,393970124,9780393970130.0,1897.0,Dracula,3.98,Bram Stoker,11756,36719,151396,246043,243825,https://images.gr-assets.com/books/1387151694m/17245.jpg,https://images.gr-assets.com/books/1387151694s/17245.jpg
98,307269981,9780307269980.0,2006.0,Flickan som lekte med elden,4.22,Stieg Larsson,4623,15781,91021,258236,279592,https://images.gr-assets.com/books/1351778881m/5060378.jpg,https://images.gr-assets.com/books/1351778881s/5060378.jpg
99,1612130585,9781612130580.0,2011.0,Fifty Shades Darker,3.87,E.L. James,37245,58935,114203,150906,262051,https://images.gr-assets.com/books/1358266080m/11857408.jpg,https://images.gr-assets.com/books/1358266080s/11857408.jpg
100,60786507,9780060786500.0,1998.0,The Poisonwood Bible,4.02,Barbara Kingsolver,21699,33702,92590,175725,239071,https://images.gr-assets.com/books/1412242487m/7244.jpg,https://images.gr-assets.com/books/1412242487s/7244.jpg
101,349113912,9780349113910.0,2000.0,Me Talk Pretty One Day,3.97,David Sedaris,19718,29034,93427,178021,194076,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
102,99408392,9780099408390.0,1963.0,Where the Wild Things Are,4.22,Maurice Sendak,15392,27532,93700,167043,332394,https://images.gr-assets.com/books/1384434560m/19543.jpg,https://images.gr-assets.com/books/1384434560s/19543.jpg
103,140449264,9780140449270.0,1844.0,Le Comte de Monte-Cristo,4.21,Alexandre Dumas,10381,22482,89980,183142,295235,https://images.gr-assets.com/books/1309203605m/7126.jpg,https://images.gr-assets.com/books/1309203605s/7126.jpg
104,307265439,9780307265430.0,2006.0,The Road,3.95,Cormac McCarthy,20086,36561,100989,190823,207328,https://images.gr-assets.com/books/1439197219m/6288.jpg,https://images.gr-assets.com/books/1439197219s/6288.jpg
105,7524277,9780007524270.0,2013.0,Allegiant,3.63,Veronica Roth,31626,78366,176061,192785,184388,https://images.gr-assets.com/books/1395582745m/18710190.jpg,https://images.gr-assets.com/books/1395582745s/18710190.jpg
107,446693804,9780446693810.0,1999.0,A Walk to Remember,4.15,Nicholas Sparks,10640,24094,94327,169650,260870,https://images.gr-assets.com/books/1385738968m/3473.jpg,https://images.gr-assets.com/books/1385738968s/3473.jpg
108,440241413,9780440241420.0,2000.0,Confessions of a Shopaholic,3.61,Sophie Kinsella,30705,56949,156636,166927,146787,https://images.gr-assets.com/books/1327872404m/9416.jpg,https://images.gr-assets.com/books/1327872404s/9416.jpg
109,451525264,9780451525260.0,1862.0,Les Misérables,4.14,Victor Hugo,15225,25914,87461,167385,264147,https://images.gr-assets.com/books/1411852091m/24280.jpg,https://images.gr-assets.com/books/1411852091s/24280.jpg
110,553381695,9780553381700.0,1998.0,A Clash of Kings,4.4,George R.R. Martin,1788,7104,56167,221706,320000,https://images.gr-assets.com/books/1358254974m/10572.jpg,https://images.gr-assets.com/books/1358254974s/10572.jpg
111,143037145,9780143037150.0,2005.0,The Memory Keeper's Daughter,3.64,Kim Edwards,19453,47004,145437,183150,115538,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
112,670026603,9780670026610.0,2012.0,Me Before You,4.27,Jojo Moyes,10346,21880,91517,249474,367916,https://images.gr-assets.com/books/1357108762m/15507958.jpg,https://images.gr-assets.com/books/1357108762s/15507958.jpg
113,684833395,9780684833390.0,1961.0,Catch-22,3.98,Joseph Heller,20639,37912,106269,186745,230950,https://images.gr-assets.com/books/1463157317m/168668.jpg,https://images.gr-assets.com/books/1463157317s/168668.jpg
114,751529818,9780751529810.0,1997.0,Tuesdays with Morrie,4.06,Mitch Albom,11507,30534,107446,194448,240462,https://images.gr-assets.com/books/1423763749m/6900.jpg,https://images.gr-assets.com/books/1423763749s/6900.jpg
115,312422156,9780312422160.0,2002.0,Middlesex,3.98,Jeffrey Eugenides,19329,30503,89740,171099,197327,https://images.gr-assets.com/books/1437029776m/2187.jpg,https://images.gr-assets.com/books/1437029776s/2187.jpg
116,143039563,9780143039560.0,1876.0,The Adventures of Tom Sawyer,3.89,Mark Twain,12130,34349,143659,217896,186192,https://images.gr-assets.com/books/1404811979m/24583.jpg,https://images.gr-assets.com/books/1404811979s/24583.jpg
117,440498058,9780440498060.0,1962.0,A Wrinkle in Time,4.04,Madeleine L'Engle,17313,34988,119115,209745,268933,https://images.gr-assets.com/books/1329061522m/18131.jpg,https://images.gr-assets.com/books/1329061522s/18131.jpg
118,143038095,9780143038090.0,1989.0,The Joy Luck Club,3.9,Amy Tan,14802,30197,116748,195930,167566,https://images.gr-assets.com/books/1304978653m/7763.jpg,https://images.gr-assets.com/books/1304978653s/7763.jpg
119,038549081X,9780385490820.0,1985.0,The Handmaid's Tale,4.06,Margaret Atwood,13998,32561,116975,252942,267088,https://images.gr-assets.com/books/1498057733m/38447.jpg,https://images.gr-assets.com/books/1498057733s/38447.jpg
120,385729332,9780385729340.0,2001.0,The Sisterhood of the Traveling Pants,3.75,Ann Brashares,14996,42396,152024,177404,149784,https://images.gr-assets.com/books/1461611233m/452306.jpg,https://images.gr-assets.com/books/1461611233s/452306.jpg
122,60987103,9780060987110.0,1995.0,Wicked: The Life and Times of the Wicked Witch of the West,3.52,Gregory Maguire,40802,65835,132061,153583,133217,https://images.gr-assets.com/books/1437733293m/37442.jpg,https://images.gr-assets.com/books/1437733293s/37442.jpg
123,582418275,9780582418270.0,1991.0,The Firm,3.99,John Grisham,5075,20119,111543,190966,160652,https://images.gr-assets.com/books/1418465200m/5358.jpg,https://images.gr-assets.com/books/1418465200s/5358.jpg
