title,author,rating,ratingcounts,reviewcounts,description,ISBN,genre,image,pagecount
Fool (Hardcover),Christopher Moore,3.97,50175,3555,"""Hilarious, always inventive, this is a book for all, especially uptight English teachers, bardolaters, and ministerial students."" --Dallas Morning NewsFool--the bawdy and outrageous New York Times bestseller from the unstoppable Christopher Moore--is a hilarious new take on William Shakespeare's King Lear...as seen through the eyes of the foolish liege's clownish jester, ",9780060590314,Humor and Comedy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1434220875l/3684856._SY475_.jpg,311
"Lamb: The Gospel According to Biff, Christ's Childhood Pal (Paperback)",Christopher Moore,4.25,148477,11701,"The birth of Jesus has been well chronicled, as have his glorious teachings, acts, and divine sacrifice after his thirtieth birthday. But no one knows about the early life of the Son of God, the missing years—except Biff, the Messiah's best bud, who has been resurrected to tell the story in the divinely hilarious yet heartfelt work ""reminiscent of Vonnegut and Douglas Adam",9780380813810,Humor and Comedy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1331419009l/28881.jpg,444
"The 100-Year-Old Man Who Climbed Out the Window and Disappeared (The Hundred-Year-Old Man, #1)",Jonas Jonasson,3.83,206427,22345,"After a long and eventful life, Allan Karlsson ends up in a nursing home, believing it to be his last stop. The only problem is that he’s still in good health. A big celebration is in the works for his 100th birthday, but Allan really isn’t interested (and he’d like a bit more control over his alcohol consumption), so he decides to escape. He climbs out the window in his s",null,Humor and Comedy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1510447566l/36578942._SY475_.jpg,396
A Confederacy of Dunces (Paperback),John Kennedy Toole,3.89,227016,14733,"Alternate cover for this ISBN can be found here""A green hunting cap squeezed the top of the fleshy balloon of a head. The green earflaps, full of large ears and uncut hair and the fine bristles that grew in the ears themselves, stuck out on either side like turn signals indicating two directions at once. Full, pursed lips protruded beneath the bushy black moustache and, at",9780802130204,Humor and Comedy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562554946l/310612._SY475_.jpg,394
"Practical Demonkeeping (Pine Cove, #1)",Christopher Moore,3.83,40973,1666,"In Christopher Moore's ingenious debut novel, we meet one of the most memorably mismatched pairs in the annals of literature. The good-looking one is one-hundred-year-old ex-seminarian and ""roads"" scholar Travis O'Hearn. The green one is Catch, a demon with a nasty habit of eating most of the people he meets. Behind the fake Tudor facade of Pine Cove, California, Catch see",9780060735425,Humor and Comedy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1429229158l/33457.jpg,256
Why Not Me? (Paperback),Mindy Kaling,3.91,170094,10489,"
From the author of the beloved 
New York Times
 bestselling book 
Is Everyone Hanging Out Without Me? 
and the creator and star of 
The Mindy Project
 comes a collection of essays that are as hilarious and insightful as they are deeply personal.
  In Why Not Me?,  Kaling shares her ongoing journey to find contentment and excitement in her adult life, whether",9780804138161,Humor and Comedy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1473956249l/30268522._SY475_.jpg,240
Dad Is Fat (ebook),Jim Gaffigan,3.78,63119,7298,"Jim Gaffigan never imagined he would have his own kids. Though he grew up in a large Irish-Catholic family, Jim was satisfied with the nomadic, nocturnal life of a standup comedian, and was content to be ""that weird uncle who lives in an apartment by himself in New York that everyone in the family speculates about."" But all that changed when he married and found out his wi",9780385349062,Humor and Comedy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1354052742l/16141924.jpg,288
"Wallbanger (Cocktail, #1)",Alice Clayton,4.05,172446,13342,"The first night after Caroline moves into her fantastic new San Francisco apartment, she realizes she's gaining an intimate knowledge of her new neighbor's nocturnal adventures. Thanks to paper-thin walls and the guy's athletic prowess, she can hear not just his bed banging against the wall but the ecstatic response of what seems (as loud night after loud night goes by) li",9781623420024,Humor and Comedy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1352205960l/15858248.jpg,384
"Bridget Jones's Diary (Bridget Jones, #1)",Helen Fielding,3.78,873053,9615,"Meet Bridget Jones—a 30-something Singleton who is certain she would have all the answers if she could:a. lose 7 poundsb. stop smokingc. develop Inner Poise""123 lbs. (how is it possible to put on 4 pounds in the middle of the night? Could flesh have somehow solidified becoming denser and heavier? Repulsive, horrifying notion), alcohol units 4 (excellent), cigarettes 21 (po",9780140280098,Humor and Comedy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1558869586l/227443._SY475_.jpg,288
Naked (Paperback),David Sedaris,4.09,232863,5658,"Welcome to the hilarious, strange, elegiac, outrageous world of David Sedaris. In Naked, Sedaris turns the mania for memoir on its proverbial ear, mining the exceedingly rich terrain of his life, his family, and his unique worldview—a sensibility at once take-no-prisoners sharp and deeply charitable. A tart-tongued mother does dead-on imitations of her young son's nervous ",9780316777735,Humor and Comedy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1394178867l/4138.jpg,304
Sh*t My Dad Says (Hardcover),Justin Halpern,3.99,139236,8365,"After being dumped by his longtime girlfriend, twenty-eight-year-old Justin Halpern found himself living at home with his seventy-three-year-old dad. Sam Halpern, who is ""like Socrates, but angrier, and with worse hair,"" has never minced words, and when Justin moved back home, he began to record all the ridiculous things his dad said to him:""That woman was sexy. . . . Out ",9780061992704,Humor and Comedy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1370399211l/7821447.jpg,159
I Am America (And So Can You!),Stephen Colbert,3.91,77042,3470,"Congratulations--just by opening the cover of this book you became 25% more patriotic.From Stephen Colbert, the host of television's highest-rated punditry show The Colbert Report, comes the book to fill the other 23½ hours of your day. I Am America (And So Can You!) contains all of the opinions that Stephen doesn't have time to shoehorn into his nightly broadcast.Dictated",9780446580502,Humor and Comedy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1435873807l/611298._SX318_.jpg,230
Modern Romance (Hardcover),Aziz Ansari,3.82,161243,13100,"Now a New York Times BestsellerA hilarious, thoughtful, and in-depth exploration of the pleasures and perils of modern romance from one of this generation’s sharpest comedic voicesAt some point, every one of us embarks on a journey to find love. We meet people, date, get into and out of relationships, all with the hope of finding someone with whom we share a deep connectio",9781594206276,Humor and Comedy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432335014l/23453112.jpg,279
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened (Paperback)",Allie Brosh,4.15,169945,12145,"This is a book I wrote. Because I wrote it, I had to figure out what to put on the back cover to explain what it is. I tried to write a long, third-person summary that would imply how great the book is and also sound vaguely authoritative--like maybe someone who isn’t me wrote it--but I soon discovered that I’m not sneaky enough to pull it off convincingly. So I decided to",9781451666175,Humor and Comedy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1409522492l/17571564.jpg,371
"Catch-22 (Catch-22, #1)",Joseph Heller,3.98,710493,17869,"The novel is set during World War II, from 1942 to 1944. It mainly follows the life of Captain John Yossarian, a U.S. Army Air Forces B-25 bombardier. Most of the events in the book occur while the fictional 256th Squadron is based on the island of Pianosa, in the Mediterranean Sea, west of Italy. The novel looks into the experiences of Yossarian and the other airmen in th",9780684833392,Humor and Comedy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1463157317l/168668.jpg,453
The Princess Bride (Paperback),William Goldman,4.26,763741,19803,"What happens when the most beautiful girl in the world marries the handsomest prince of all time and he turns out to be...well...a lot less than the man of her dreams?As a boy, William Goldman claims, he loved to hear his father read the S. Morgenstern classic, The Princess Bride. But as a grown-up he discovered that the boring parts were left out of good old Dad's recitat",9780345418265,Humor and Comedy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327903636l/21787.jpg,456
When You Are Engulfed in Flames (Hardcover),David Sedaris,4.06,180534,9695,"It's early autumn 1964. Two straight-A students head off to school, and when only one of them returns home Chesney Yelverton is coaxed from retirement and assigned to what proves to be the most difficult and deadly - case of his career. From the shining notorious East Side, When You Are Engulfed in Flames confirms once again that David Sedaris is a master of mystery and su",9780316143479,Humor and Comedy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1547552824l/1044355._SX318_.jpg,323
"The Color of Magic (Discworld, #1; Rincewind, #1)",Terry Pratchett,3.99,307136,9350,"Terry Pratchett's profoundly irreverent, bestselling novels have garnered him a revered position in the halls of parody next to the likes of Mark Twain, Kurt Vonnegut, Douglas Adams, and Carl Hiaasen.The Color of Magic is Terry Pratchett's maiden voyage through the now-legendary land of Discworld. This is where it all begins -- with the tourist Twoflower and his wizard gui",9780060855925,Humor and Comedy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1407111017l/34497.jpg,228
"Dear Girls: Intimate Tales, Untold Secrets, & Advice for Living Your Best Life (Hardcover)",Ali Wong,3.91,41920,4461,"Ali Wong's heartfelt and hilarious letters to her daughters (the two she put to work while they were still in utero), covering everything they need to know in life, like the unpleasant details of dating, how to be a working mom in a male-dominated profession, and how she trapped their dad.In her hit Netflix comedy special Baby Cobra, an eight-month pregnant Ali Wong resona",9780525508830,Humor and Comedy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553635552l/44600621.jpg,240
Let's Explore Diabetes with Owls (Hardcover),David Sedaris,3.83,119011,9322,"A guy walks into a bar car and...From here the story could take many turns. When this guy is David Sedaris, the possibilities are endless, but the result is always the same: he will both delight you with twists of humor and intelligence and leave you deeply moved. Sedaris remembers his father's dinnertime attire (shirtsleeves and underpants), his first colonoscopy (remarka",9780316154697,Humor and Comedy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1359704028l/15790837.jpg,275
The Importance of Being Earnest (Paperback),Oscar Wilde,4.18,297302,8976,"Oscar Wilde's madcap farce about mistaken identities, secret engagements, and lovers entanglements still delights readers more than a century after its 1895 publication and premiere performance. The rapid-fire wit and eccentric characters of The Importance of Being Earnest have made it a mainstay of the high school curriculum for decades.Cecily Cardew and Gwendolen Fairfax",9781580495806,Humor and Comedy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1298438452l/92303.jpg,76
The Girl with the Lower Back Tattoo (Hardcover),Amy Schumer,3.73,99057,8513,"The Emmy Award-winning comedian, actress, writer, and star of Inside Amy Schumer and the acclaimed film Trainwreck has taken the entertainment world by storm with her winning blend of smart, satirical humor. Now, Amy Schumer has written a refreshingly candid and uproariously funny collection of (extremely) personal and observational essays. In The Girl with the Lower Back ",9781501139888,Humor and Comedy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1462657819l/29405093.jpg,323
A Man Called Ove (Hardcover),Fredrik Backman,4.36,541171,62729,"A grumpy yet loveable man finds his solitary world turned on its head when a boisterous young family moves in next door. Meet Ove. He's a curmudgeon, the kind of man who points at people he dislikes as if they were burglars caught outside his bedroom window. He has staunch principles, strict routines, and a short fuse. People call him the bitter neighbor from hell, but mus",9781476738017,Humor and Comedy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405259930l/18774964.jpg,337
Can You Keep a Secret? (Paperback),Sophie Kinsella,3.84,368319,12013,"Meet Emma Corrigan, a young woman with a huge heart, an irrepressible spirit, and a few little secrets: Secrets from her boyfriend: I've always thought Connor looks a bit like Ken. As in Barbie and Ken. Secrets from her mother: I lost my virginity in the spare bedroom with Danny Nussbaum while Mum and Dad were downstairs watching Ben-Hur. Secrets she wouldn't share with an",9780440241904,Humor and Comedy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1330464293l/33724.jpg,374
Seriously... I'm Kidding (Hardcover),Ellen DeGeneres,3.71,100068,7504,"""Sometimes the greatest things are the most embarrassing."" Ellen Degeneres' winning, upbeat candor has made her show one of the most popular, resilient and honored daytime shows on the air. (To date, it has won no fewer than 31 Emmys.) Seriously... I'm Kidding, Degeneres' first book in eight years, brings us up to date about the life of a kindhearted woman who bowed out of",9780446585026,Humor and Comedy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1441195131l/11230081._SY475_.jpg,241
Calvin and Hobbes (Calvin and Hobbes #1),Bill Watterson,4.60,138751,890,"This is the first collection of the popular comic strip that features Calvin, a rambunctious 6-year-old boy, and his stuffed tiger, Hobbes, who comes charmingly to life.",9780836220889,Humor and Comedy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1441227694l/77727._SX318_.jpg,128
"So Long, and Thanks for All the Fish (Hitchhiker's Guide to the Galaxy, #4)",Douglas Adams,4.10,140717,2821,"Back on Earth with nothing more to show for his long, strange trip through time and space than a ratty towel and a plastic shopping bag, Arthur Dent is ready to believe that the past eight years were all just a figment of his stressed-out imagination. But a gift-wrapped fishbowl with a cryptic inscription, the mysterious disappearance of Earth's dolphins, and the discovery",null,Humor and Comedy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327873354l/6091075.jpg,225
I Can't Make This Up: Life Lessons (Hardcover),Kevin  Hart,4.11,23379,2525,"INSTANT #1 NEW YORK TIMES BESTSELLERSuperstar comedian and Hollywood box office star Kevin Hart turns his immense talent to the written word by writing some words. Some of those words include: the, a, for, above, and even even. Put them together and you have the funniest, most heartfelt, and most inspirational memoir on survival, success, and the importance of believing in",9781501155567,Humor and Comedy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1493503674l/33347428.jpg,378
"Adulthood Is a Myth (Sarah's Scribbles, #1)",Sarah Andersen,4.12,101429,6388,"Are you a special snowflake? Do you enjoy networking to advance your career? Is adulthood an exciting new challenge for which you feel fully prepared? Ugh. Please go away.This book is for the rest of us. These comics document the wasting of entire beautiful weekends on the internet, the unbearable agony of holding hands on the street with a gorgeous guy, dreaming all day o",9781449474195,Humor and Comedy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1481219756l/25855506._SX318_.jpg,112
Let's Pretend This Never Happened: A Mostly True Memoir (Hardcover),Jenny  Lawson,3.89,160140,17900,"For fans of Tina Fey and David Sedaris—Internet star Jenny Lawson, aka The Bloggess, makes her literary debut.   Jenny Lawson realized that the most mortifying moments of our lives—the ones we’d like to pretend never happened—are in fact the ones that define us. In the #1 New York Times bestseller, Let’s Pretend This Never Happened, Lawson takes readers on a hilarious jour",9780399159015,Humor and Comedy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1489415716l/12868761._SY475_.jpg,318
What If? Serious Scientific Answers to Absurd Hypothetical Questions (Hardcover),Randall Munroe,4.15,120566,8243,"Randall Munroe left NASA in 2005 to start up his hugely popular site XKCD 'a web comic of romance, sarcasm, math and language' which offers a witty take on the world of science and geeks. It now has 600,000 to a million page hits daily. Every now and then, Munroe would get emails asking him to arbitrate a science debate. 'My friend and I were arguing about what would happe",9780544272996,Humor and Comedy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451351509l/21413662._SX318_.jpg,303
I've Got Your Number (Hardcover),Sophie Kinsella,3.94,190442,12669,"I’ve lost it. :( The only thing in the world I wasn’t supposed to lose. My engagement ring. It’s been in Magnus’s family for three generations. And now the very same day his parents are coming, I’ve lost it. The very same day! Do not hyperventilate, Poppy. Stay positive :) !!   Poppy Wyatt has never felt luckier. She is about to marry her ideal man, Magnus Tavish, but in o",9780385342063,Humor and Comedy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327956732l/12033455.jpg,433
Ways of Seeing (Paperback),John Berger,3.85,238975,1473,"John Berger’s Classic Text on ArtJohn Berger's Ways of Seeing is one of the most stimulating and the most influential books on art in any language. First published in 1972, it was based on the BBC television series about which the (London) Sunday Times critic commented: ""This is an eye-opener in more ways than one: by concentrating on how we look at paintings . . . he will",9780140135152,Art,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1464018308l/2784._SY475_.jpg,176
The Story of Art (Hardcover),E.H. Gombrich,3.92,300374,832,"This text is the 16th revised and updated edition of this introduction to art, from the earliest cave paintings to experimental art. Eight new artists from the modern period have been introduced. They are: Corot, Kollwitz, Nolde, de Chirico, Brancussi, Magritte, Nicolson and Morandi. A sequence of new endings have been added, and the captions are now fuller, including the ",9780714833552,Art,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389274650l/222078.jpg,688
The New Drawing on the Right Side of the Brain (Paperback),Betty Edwards,3.86,291178,780,"When Drawing on the Right Side of the Brain was first published in 1979, it hit the New York Times bestseller list within two weeks and stayed there for more than a year. In 1989, when Dr. Betty Edwards revised the book, it went straight to the Times list again. Now Dr. Edwards celebrates the twentieth anniversary of her classic book with a second revised edition.Over the ",9780874774245,Art,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348133732l/627206.jpg,291
Steal Like an Artist: 10 Things Nobody Told You About Being Creative (Paperback),Austin Kleon,3.92,189967,5276,"You don’t need to be a genius, you just need to be yourself. That’s the message from Austin Kleon, a young writer and artist who knows that creativity is everywhere, creativity is for everyone. A manifesto for the digital age, Steal Like an Artist is a guide whose positive message, graphic look and illustrations, exercises, and examples will put readers directly in touch w",9780761169253,Art,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404576602l/13099738.jpg,160
Wall and Piece (Paperback),Banksy,3.85,201128,838,"Banksy, Britain's now-legendary ""guerilla"" street artist, has painted the walls, streets, and bridges of towns and cities throughout the world. Not only did he smuggle his pieces into four of New York City's major art museums, he's also ""hung"" his work at London's Tate Gallery and adorned Israel's West Bank barrier with satirical images. Banksy's identity remains unknown, ",9781844137879,Art,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327904853l/114683.jpg,240
The Artist's Way: A Spiritual Path to Higher Creativity (Paperback),Julia Cameron,3.91,91579,2579,"The Artist’s Way is the seminal book on the subject of creativity. An international bestseller, millions of readers have found it to be an invaluable guide to living the artist’s life. Still as vital today—or perhaps even more so—than it was when it was first published one decade ago, it is a powerfully provocative and inspiring work. In a new introduction to the book, Jul",9781585421466,Art,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440952332l/615570._SX318_.jpg,237
Girl with a Pearl Earring (Paperback),Tracy Chevalier,3.89,615107,9592,"With precisely 35 canvases to his credit, the Dutch painter Johannes Vermeer represents one of the great enigmas of 17th-century art. The meager facts of his biography have been gleaned from a handful of legal documents. Yet Vermeer's extraordinary paintings of domestic life, with their subtle play of light and texture, have come to define the Dutch golden age. His portrai",9780452287020,Art,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327197580l/2865.jpg,233
The Art Book (Paperback),Phaidon Press,3.83,135257,255,"An A to Z guide to 500 great painters and sculptors from medieval to modern times, it debunks art historical classifications by throwing together brilliant examples of all periods, schools, visions and techniques. Each artist is represented by a full-page colour plate of a definitive work, accompanied by explanatory and illuminating information on the image and its creator",9780714836256,Art,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1411210646l/567616.jpg,515
Art and Fear: Observations on the Perils (and Rewards) of Artmaking,David Bayles,3.72,69486,994,"""This is a book about making art. Ordinary art. Ordinary art means something like: all art not made by Mozart. After all, art is rarely made by Mozart-like people; essentially-statistically speaking-there aren't any people like that. Geniuses get made once-a-century or so, yet good art gets made all the time, so to equate the making of art with the workings of genius remov",9780961454739,Art,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442712080l/187633._SY475_.jpg,122
Concerning the Spiritual in Art (Paperback),Wassily Kandinsky,3.82,75431,304,"A pioneering work in the movement to free art from its traditional bonds to material reality, this book is one of the most important documents in the history of modern art. Written by the famous nonobjective painter Wassily Kandinsky (1866–1944), it explains Kandinsky's own theory of painting and crystallizes the ideas that were influencing many other modern artists of the",9780486234113,Art,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405982387l/857502.jpg,80
Seven Days in the Art World (Paperback),Sarah Thornton,3.59,55512,683,"Named one of the best art books of 2008 by The New York Times and The Sunday Times [London]: “An indelible portrait of a peculiar society.”—Vogue The art market has been booming. Museum attendance is surging. More people than ever call themselves artists. Contemporary art has become a mass entertainment, a luxury good, a job description, and, for some, a kind of alternativ",9780393337129,Art,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358748500l/6988014.jpg,320
